iter	Passed	Remaining
658	935	484
659	936	482
660	937	480
661	938	479
662	939	477
663	940	476
664	941	474
665	942	472
666	944	471
667	945	469
668	946	468
669	947	466
670	949	465
671	950	464
672	951	462
673	953	461
674	954	459
675	955	457
676	955	456
677	956	454
678	957	452
679	958	451
680	960	449
681	961	448
682	962	446
683	963	445
684	964	443
685	965	441
686	966	440
687	967	438
688	968	437
689	969	435
690	970	433
691	970	432
692	971	430
693	972	428
694	974	427
695	975	426
696	976	424
697	977	422
698	978	421
699	979	419
700	980	418
701	981	416
702	982	415
703	983	413
704	985	412
705	985	410
706	986	408
707	987	407
708	989	406
709	990	404
710	991	403
711	992	401
712	993	399
713	994	398
714	995	396
715	996	395
716	997	393
717	998	392
718	999	390
719	1000	389
720	1001	387
721	1002	386
722	1003	384
723	1005	383
724	1006	381
725	1007	380
726	1007	378
727	1008	376
728	1009	375
729	1010	373
730	1012	372
731	1013	370
732	1014	369
733	1015	368
734	1016	366
735	1017	365
736	1019	363
737	1020	362
738	1022	360
739	1023	359
740	1024	357
741	1025	356
742	1026	354
743	1027	353
744	1028	351
745	1029	350
746	1030	348
747	1030	347
748	1031	345
749	1032	344
750	1033	342
751	1035	341
752	1036	340
753	1037	338
754	1038	337
755	1039	335
756	1040	333
757	1041	332
758	1042	330
759	1043	329
760	1044	327
761	1045	326
762	1046	324
763	1046	323
764	1047	321
765	1048	320
766	1051	319
767	1052	317
768	1053	316
769	1054	314
770	1055	313
771	1056	311
772	1057	310
773	1058	308
774	1059	307
775	1060	305
776	1060	304
777	1061	302
778	1062	301
779	1063	299
780	1065	298
781	1066	297
782	1068	296
783	1069	294
784	1070	293
785	1071	291
786	1072	290
787	1073	288
788	1074	287
789	1074	285
790	1075	284
791	1076	282
792	1077	281
793	1078	279
794	1080	278
795	1081	277
796	1082	275
797	1083	274
798	1084	272
799	1085	271
800	1086	269
801	1087	268
802	1088	266
803	1089	265
804	1090	264
805	1091	262
806	1092	261
807	1093	259
808	1094	258
809	1094	256
810	1096	255
811	1097	254
812	1098	252
813	1099	251
814	1100	249
815	1101	248
816	1102	246
817	1103	245
818	1104	243
819	1104	242
820	1105	241
821	1106	239
822	1108	238
823	1109	236
824	1110	235
825	1112	234
826	1113	232
827	1114	231
828	1115	230
829	1116	228
830	1117	227
831	1118	225
832	1119	224
833	1120	223
834	1121	221
835	1122	220
836	1123	218
837	1124	217
838	1125	215
839	1127	214
840	1128	213
841	1129	211
842	1130	210
843	1131	209
844	1131	207
845	1132	206
846	1134	204
847	1135	203
848	1135	202
849	1136	200
850	1137	199
851	1138	197
852	1139	196
853	1141	195
854	1142	193
855	1144	192
856	1145	191
857	1146	189
858	1147	188
859	1148	186
860	1149	185
861	1150	184
862	1151	182
863	1152	181
864	1153	179
865	1153	178
866	1154	177
867	1156	175
868	1157	174
869	1158	173
870	1159	171
871	1160	170
872	1161	168
873	1162	167
874	1164	166
875	1165	164
876	1166	163
877	1167	162
878	1168	160
879	1169	159
880	1171	158
881	1172	156
882	1173	155
883	1174	154
884	1175	152
885	1176	151
886	1177	150
887	1178	148
888	1179	147
889	1180	145
890	1181	144
891	1182	143
892	1183	141
893	1184	140
894	1185	139
895	1186	137
896	1188	136
897	1189	135
898	1189	133
899	1190	132
900	1191	130
901	1193	129
902	1194	128
903	1195	126
904	1196	125
905	1196	124
906	1197	122
907	1198	121
908	1199	120
909	1200	118
910	1202	117
911	1203	116
912	1204	114
913	1205	113
914	1206	112
915	1207	110
916	1208	109
917	1209	108
918	1210	106
919	1211	105
920	1212	103
921	1213	102
922	1214	101
923	1215	99
924	1216	98
925	1218	97
926	1219	96
927	1220	94
928	1221	93
929	1223	92
930	1224	90
931	1225	89
932	1226	88
933	1227	86
934	1228	85
935	1229	84
936	1230	82
937	1230	81
938	1232	80
939	1233	78
940	1234	77
941	1235	76
942	1236	74
943	1237	73
944	1238	72
945	1239	70
946	1240	69
947	1241	68
948	1242	66
949	1243	65
950	1244	64
951	1245	62
952	1246	61
953	1249	60
954	1251	58
955	1252	57
956	1253	56
957	1254	55
958	1255	53
959	1256	52
960	1257	51
961	1258	49
962	1259	48
963	1260	47
964	1261	45
965	1263	44
966	1264	43
967	1265	41
968	1266	40
969	1267	39
970	1268	37
971	1269	36
972	1270	35
973	1271	33
974	1272	32
975	1273	31
976	1274	29
977	1275	28
978	1276	27
979	1277	26
980	1278	24
981	1279	23
982	1280	22
983	1281	20
984	1282	19
985	1283	18
986	1284	16
987	1285	15
988	1286	14
989	1287	13
990	1288	11
991	1289	10
992	1290	9
993	1291	7
994	1293	6
995	1294	5
996	1295	3
997	1296	2
998	1297	1
999	1298	0
